;FECHA;TEXT;Datestamp;TIME;WeekDay;Demora;Sinterrumpido;Snormal;SdemFG;Slimitado;Linea A;StandTime
0;2019-03-01;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 13:29;2019-03-01 16:29:09;1900-01-01 16:29:09;Friday;False;False;False;False;False;True;16:15:00
1;2019-03-01;"⚠️ATENCIÓN USUARIOS⚠️
Por operativo policial en superficie.
#LíneaA - circula con servicio limitado entre las estac… https://t.co/WlxeiC8Xpg";2019-03-01 11:38:11;1900-01-01 11:38:11;Friday;False;False;False;False;True;True;11:30:00
2;2019-03-01;#LíneaA - Servicio limitado entre las estaciones Plaza Miserere y San Pedrito. 05:30;2019-03-01 08:30:58;1900-01-01 08:30:58;Friday;False;False;False;False;True;True;08:30:00
3;2019-02-20;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 19:53;2019-02-20 22:53:40;1900-01-01 22:53:40;Wednesday;False;False;False;False;False;True;22:30:00
4;2019-02-20;#LíneaA - Servicio limitado entre las estaciones Acoyte y Plaza de Mayo. 19:39;2019-02-20 22:39:40;1900-01-01 22:39:40;Wednesday;False;False;False;False;True;True;22:30:00
5;2019-02-14;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 08:31;2019-02-14 11:31:35;1900-01-01 11:31:35;Thursday;False;False;False;False;False;True;11:30:00
6;2019-02-14;#LíneaA - Servicio Limitado entre las estaciones Flores y Plaza de Mayo. 07:24;2019-02-14 10:24:34;1900-01-01 10:24:34;Thursday;False;False;False;False;False;True;10:15:00
7;2019-02-10;#LíneaA - Servicio limitado entre las estaciones Plaza de Mayo y Acoyte. 22:34;2019-02-10 01:34:56;1900-01-01 01:34:56;Sunday;False;False;False;False;True;True;01:30:00
8;2019-02-08;#LíneaA - Ya circula con su frecuencia normal. 06:31;2019-02-08 09:31:40;1900-01-01 09:31:40;Friday;False;False;True;False;False;True;09:30:00
9;2019-02-08;#LíneaA - Servicio con demora. 06:21;2019-02-08 09:21:40;1900-01-01 09:21:40;Friday;True;False;False;False;False;True;09:15:00
10;2019-02-08;#LíneaA - Reanuda su servicio y realiza el recorrido completo entre cabeceras. 06:18;2019-02-08 09:18:39;1900-01-01 09:18:39;Friday;False;False;False;False;False;True;09:15:00
11;2019-02-08;#LíneaA - Servicio interrumpido. 05:36;2019-02-08 08:36:39;1900-01-01 08:36:39;Friday;False;True;False;False;False;True;08:30:00
12;2019-02-05;#LíneaA - Los trenes ya se detienen en todas las estaciones. 15:07;2019-02-05 18:07:12;1900-01-01 18:07:12;Tuesday;False;False;False;False;False;True;18:00:00
13;2019-02-05;#LíneaA - Los trenes no se detienen en la estación Loria. 14:31;2019-02-05 17:31:11;1900-01-01 17:31:11;Tuesday;False;False;False;False;False;True;17:30:00
